#       Beta                mu_IG              mu_excess           mu_total
   0.3354009366E-002           -Infinity   0.1417975174E+004           -Infinity
   0.3354348433E-002           -Infinity   0.1417919962E+004           -Infinity
   0.3354687499E-002           -Infinity   0.1417865071E+004           -Infinity
   0.3355026565E-002           -Infinity   0.1417810501E+004           -Infinity
   0.3355365632E-002           -Infinity   0.1417756255E+004           -Infinity
   0.3355704698E-002           -Infinity   0.1417702335E+004           -Infinity
   0.3356043764E-002           -Infinity   0.1417648744E+004           -Infinity
   0.3356382831E-002           -Infinity   0.1417595481E+004           -Infinity
   0.3356721897E-002           -Infinity   0.1417542551E+004           -Infinity
   0.3357060963E-002           -Infinity   0.1417489954E+004           -Infinity
   0.3357400030E-002           -Infinity   0.1417437692E+004           -Infinity
