#     Pressure              mu_IG              mu_excess           mu_total
  -0.1949684518E+002           -Infinity   0.1411683154E+004           -Infinity
  -0.1539747614E+002           -Infinity   0.1412885404E+004           -Infinity
  -0.1129810711E+002           -Infinity   0.1414088464E+004           -Infinity
  -0.7198738072E+001           -Infinity   0.1415292317E+004           -Infinity
  -0.3099369036E+001           -Infinity   0.1416496947E+004           -Infinity
   0.1000000000E+001           -Infinity   0.1417702335E+004           -Infinity
   0.5099369036E+001           -Infinity   0.1418908464E+004           -Infinity
   0.9198738072E+001           -Infinity   0.1420115314E+004           -Infinity
   0.1329810711E+002           -Infinity   0.1421322865E+004           -Infinity
   0.1739747614E+002           -Infinity   0.1422531097E+004           -Infinity
   0.2149684518E+002           -Infinity   0.1423739989E+004           -Infinity
