# Molecule: H2O_TIP                 
# Box 1                   Boltzmann             Biased
   0.3354009366E-002   0.9093378185E+003   0.9084530040E+003
   0.3354348433E-002   0.9093660758E+003   0.9084759719E+003
   0.3354687499E-002   0.9093943870E+003   0.9084989584E+003
   0.3355026565E-002   0.9094227522E+003   0.9085219637E+003
   0.3355365632E-002   0.9094511714E+003   0.9085449878E+003
   0.3355704698E-002   0.9094796447E+003   0.9085680307E+003
   0.3356043764E-002   0.9095081720E+003   0.9085910925E+003
   0.3356382831E-002   0.9095367534E+003   0.9086141732E+003
   0.3356721897E-002   0.9095653889E+003   0.9086372730E+003
   0.3357060963E-002   0.9095940785E+003   0.9086603918E+003
   0.3357400030E-002   0.9096228223E+003   0.9086835298E+003


# Molecule: Na_NaBOH4               
# Box 1                   Boltzmann             Biased
   0.3354009366E-002   0.6188917301E+002   0.6182895289E+002
   0.3354348433E-002   0.6189109619E+002   0.6183051607E+002
   0.3354687499E-002   0.6189302304E+002   0.6183208053E+002
   0.3355026565E-002   0.6189495357E+002   0.6183364626E+002
   0.3355365632E-002   0.6189688777E+002   0.6183521327E+002
   0.3355704698E-002   0.6189882565E+002   0.6183678156E+002
   0.3356043764E-002   0.6190076720E+002   0.6183835113E+002
   0.3356382831E-002   0.6190271244E+002   0.6183992200E+002
   0.3356721897E-002   0.6190466137E+002   0.6184149416E+002
   0.3357060963E-002   0.6190661397E+002   0.6184306762E+002
   0.3357400030E-002   0.6190857026E+002   0.6184464238E+002


# Molecule: BOH4_NaBOH4             
# Box 1                   Boltzmann             Biased
   0.3354009366E-002   0.2122478076E+003   0.2120412838E+003
   0.3354348433E-002   0.2122544031E+003   0.2120466447E+003
   0.3354687499E-002   0.2122610112E+003   0.2120520100E+003
   0.3355026565E-002   0.2122676319E+003   0.2120573796E+003
   0.3355365632E-002   0.2122742652E+003   0.2120627536E+003
   0.3355704698E-002   0.2122809111E+003   0.2120681321E+003
   0.3356043764E-002   0.2122875697E+003   0.2120735149E+003
   0.3356382831E-002   0.2122942409E+003   0.2120789022E+003
   0.3356721897E-002   0.2123009246E+003   0.2120842939E+003
   0.3357060963E-002   0.2123076211E+003   0.2120896900E+003
   0.3357400030E-002   0.2123143301E+003   0.2120950906E+003


# Molecule: H2_H2                   
# Box 1                   Boltzmann             Biased
   0.3354009366E-002   0.0000000000E+000   0.0000000000E+000
   0.3354348433E-002   0.0000000000E+000   0.0000000000E+000
   0.3354687499E-002   0.0000000000E+000   0.0000000000E+000
   0.3355026565E-002   0.0000000000E+000   0.0000000000E+000
   0.3355365632E-002   0.0000000000E+000   0.0000000000E+000
   0.3355704698E-002   0.0000000000E+000   0.0000000000E+000
   0.3356043764E-002   0.0000000000E+000   0.0000000000E+000
   0.3356382831E-002   0.0000000000E+000   0.0000000000E+000
   0.3356721897E-002   0.0000000000E+000   0.0000000000E+000
   0.3357060963E-002   0.0000000000E+000   0.0000000000E+000
   0.3357400030E-002   0.0000000000E+000   0.0000000000E+000


