# Molecule: H2O_TIP                 
# Box 1                   Boltzmann             Biased
  -0.1949684518E+002   0.9086357479E+003   0.9077607475E+003
  -0.1539747614E+002   0.9088039840E+003   0.9079223312E+003
  -0.1129810711E+002   0.9089724992E+003   0.9080838536E+003
  -0.7198738072E+001   0.9091412861E+003   0.9082453124E+003
  -0.3099369036E+001   0.9093103371E+003   0.9084067055E+003
   0.1000000000E+001   0.9094796447E+003   0.9085680307E+003
   0.5099369036E+001   0.9096492009E+003   0.9087292856E+003
   0.9198738072E+001   0.9098189976E+003   0.9088904679E+003
   0.1329810711E+002   0.9099890268E+003   0.9090515751E+003
   0.1739747614E+002   0.9101592800E+003   0.9092126048E+003
   0.2149684518E+002   0.9103297488E+003   0.9093735545E+003


# Molecule: Na_NaBOH4               
# Box 1                   Boltzmann             Biased
  -0.1949684518E+002   0.6184139036E+002   0.6178183818E+002
  -0.1539747614E+002   0.6185284045E+002   0.6179283551E+002
  -0.1129810711E+002   0.6186430953E+002   0.6180382865E+002
  -0.7198738072E+001   0.6187579709E+002   0.6181481748E+002
  -0.3099369036E+001   0.6188730264E+002   0.6182580183E+002
   0.1000000000E+001   0.6189882565E+002   0.6183678156E+002
   0.5099369036E+001   0.6191036557E+002   0.6184775650E+002
   0.9198738072E+001   0.6192192187E+002   0.6185872650E+002
   0.1329810711E+002   0.6193349399E+002   0.6186969140E+002
   0.1739747614E+002   0.6194508136E+002   0.6188065102E+002
   0.2149684518E+002   0.6195668339E+002   0.6189160519E+002


# Molecule: BOH4_NaBOH4             
# Box 1                   Boltzmann             Biased
  -0.1949684518E+002   0.2120839379E+003   0.2118797047E+003
  -0.1539747614E+002   0.2121232057E+003   0.2119174199E+003
  -0.1129810711E+002   0.2121625387E+003   0.2119551207E+003
  -0.7198738072E+001   0.2122019351E+003   0.2119928066E+003
  -0.3099369036E+001   0.2122413932E+003   0.2120304773E+003
   0.1000000000E+001   0.2122809111E+003   0.2120681321E+003
   0.5099369036E+001   0.2123204871E+003   0.2121057704E+003
   0.9198738072E+001   0.2123601192E+003   0.2121433919E+003
   0.1329810711E+002   0.2123998056E+003   0.2121809958E+003
   0.1739747614E+002   0.2124395443E+003   0.2122185816E+003
   0.2149684518E+002   0.2124793333E+003   0.2122561487E+003


# Molecule: H2_H2                   
# Box 1                   Boltzmann             Biased
  -0.1949684518E+002   0.0000000000E+000   0.0000000000E+000
  -0.1539747614E+002   0.0000000000E+000   0.0000000000E+000
  -0.1129810711E+002   0.0000000000E+000   0.0000000000E+000
  -0.7198738072E+001   0.0000000000E+000   0.0000000000E+000
  -0.3099369036E+001   0.0000000000E+000   0.0000000000E+000
   0.1000000000E+001   0.0000000000E+000   0.0000000000E+000
   0.5099369036E+001   0.0000000000E+000   0.0000000000E+000
   0.9198738072E+001   0.0000000000E+000   0.0000000000E+000
   0.1329810711E+002   0.0000000000E+000   0.0000000000E+000
   0.1739747614E+002   0.0000000000E+000   0.0000000000E+000
   0.2149684518E+002   0.0000000000E+000   0.0000000000E+000


