Simulation state at cycle:    2000000
##############################################################################                                           

Number-of-molecules: 334   

Box-size(s):    21.576673

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.3030870040E+000   0.2356989868E+000   0.1649874444E+000   0.2368996032E+001

Rotation per molecule type
Box 1    0.2205053537E+002   0.9000000000E+002   0.7872459795E+001   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.1385676253E+003

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 300   
Atomtype         X                  Y                   Z
  1       10.2620611956       20.0610738881        2.2699324947
  2        9.4956752052       20.1087146864        1.6984331116
  2       10.5852015362       20.9610207173        2.3135753828
  3       10.2035801266       20.1860969706        2.2002880162
  1        8.8185185005        4.7676159560        8.0707553446
  2        8.3237726742        4.5467260915        8.8598452711
  2        8.8751180310        3.9448831333        7.5848172082
  3        8.7607102315        4.6299221728        8.1107526707
  1        7.0210163169        1.7378544900        8.9594750164
  2        6.8032352625        1.1143540363        9.6523294553
  2        6.4993871215        1.4541952409        8.2086960278
  3        6.9234597997        1.6181653983        8.9518325509
  1        1.0768351131        8.5986790828       11.5573553914
  2        1.3000410882        9.3741883832       12.0721301912
  2        1.6957750823        8.6089493733       10.8272618956
  3        1.1879464012        8.7023534912       11.5289466128
  1        0.8992391105       12.1388329365       19.6429524247
  2        0.6466994334       12.8886362921       20.1816984838
  2        1.7139719260       12.4105369995       19.2203225412
  3        0.9734139067       12.2736088692       19.6582725933
  1        1.1833650378        3.0830610596       10.0721063080
  2        1.2336620253        2.2767888066        9.5586630842
  2        0.2479592974        3.2073320427       10.2327347628
  3        1.0665853105        2.9930789845       10.0255565339
  1       18.5725129233        1.7270778365       12.4812035100
  2       18.0165401726        2.0521544815       11.7730734708
  2       17.9580609699        1.3921645873       13.1342812920
  3       18.4180891000        1.7257800119       12.4739400098
  1        3.3221110374       18.7679178597       16.6589140217
  2        2.4925359201       18.4040060089       16.3497183451
  2        3.8601967360       18.8421865284       15.8707664324
  3        3.2836524246       18.7297028362       16.5141324377
  1       19.1134719179        8.1008101696       17.5385920758
  2       19.7463204117        7.4628894043       17.2087609706
  2       18.8345521863        7.7474519361       18.3833230502
  3       19.1601686703        7.9700225226       17.6065270793
  1       17.1003177484       11.2038604241        1.1004080162
  2       17.7997298601       10.7740558525        0.6081485265
  2       16.3240451400       10.6704293009        0.9298772239
  3       17.0901769066       11.0767727624        1.0129606059
  1       16.6829863316        8.8542695709        9.2725307509
  2       17.3483554068        9.2655266738        9.8242374356
  2       16.1559375703        8.3343984251        9.8793110011
  3       16.7012360760        8.8399392208        9.4253795255
  1        3.3624324261       11.7699242210        6.0644374402
  2        4.2936060758       11.5837791960        5.9440449959
  2        3.3070720990       12.1640319748        6.9349792195
  3        3.4779857303       11.7973624659        6.1634108539
  1        2.4520627322       14.6079757789        8.6144336176
  2        2.5869665931       15.1347462776        9.4021787965
  2        3.1313127710       13.9348712946        8.6566048740
  3        2.5594807981       14.5886687244        8.7239313653
  1       10.3246069900        5.8894415702        0.0163628724
  2        9.5570494975        5.8094995401        0.5826608897
  2       11.0368504655        6.1278530549        0.6097412277
  3       10.3173089537        5.9103497576        0.1693685794
  1        1.3387651895       15.1421823257       17.4464844653
  2        1.5439772453       15.2425547800       18.3760230925
  2        0.3829722509       15.1011435605       17.4147929015
  3        1.2397348382       15.1500107107       17.5649448633
  1       12.1889591009       13.9922866536       21.5035735546
  2       12.5654024162       13.1169440123       21.5946469732
  2       12.8656644781       14.4990330821       21.0546787267
  3       12.3279097289       13.9436547029       21.4563632130
  1       19.7768495783       18.7369230482        4.9964188971
  2       20.5109466485       18.8054461085        4.3859807277
  2       19.5639239292       17.8038364595        5.0119354306
  3       19.8456120396       18.6228540225        4.9179259592
  1       21.2585888220       14.1568896961       21.2916770514
  2       21.2578810437       14.1193388794       22.2481382959
  2       20.5843212716       14.8012538341       21.0763010896
  3       21.1695337375       14.2369516025       21.3894545696
  1       21.3395760694       15.0614416781       13.8085323447
  2       21.0381358554       15.6499592463       13.1164271892
  2       21.6405702290       15.6446747912       14.5052893530
  3       21.3395172178       15.2160404486       13.8091461021
  1       12.7486434735       18.7068561856       13.7538577038
  2       12.9406108138       18.9007690441       12.8363747228
  2       12.0826712046       18.0201634954       13.7197583906
  3       12.6861040781       18.6418396617       13.6283075718
  1        5.4219312873        0.0069225762       18.9378034934
  2        5.9267372307       -0.3669288663       18.2155606427
  2        5.1163053825        0.8509109868       18.6053805007
  3        5.4482107592        0.0689516396       18.7986526951
  1        6.5844957896       19.4154103303       12.5436995806
  2        6.3271021339       19.2732910326       11.6327773621
  2        6.6441508417       20.3667879241       12.6305939160
  3        6.5584064982       19.5221824786       12.4349787583
  1       16.7101572179        2.8449113119       19.4461452396
  2       16.3904508401        3.5895839790       19.9555361777
  2       17.4077976226        2.4688021754       19.9828653343
  3       16.7600211837        2.8935389505       19.5841673308
  1       16.0215611516       15.8328245710       18.1040558314
  2       15.9675567639       16.5949940611       18.6806058044
  2       16.3217264762       15.1231307872       18.6719151345
  3       16.0540392025       15.8397481255       18.2550472239
  1        7.1707805822        3.6891667379       13.5864758207
  2        7.9913369776        4.1705190526       13.4805710145
  2        7.0857817247        3.1795441265       12.7806913179
  3        7.2678287792        3.6854368036       13.4661891006
  1       13.0151484187       13.1240883847       16.5736845709
  2       13.6723304385       12.7858305116       17.1818967715
  2       12.1851618431       12.7753541172       16.8988543295
  3       12.9923488826       13.0334478227       16.6968333820
  1       12.6435033447       16.9735446033        1.0298029671
  2       12.7756275007       17.6028906006        1.7388131927
  2       11.9450309110       17.3546322443        0.4976966374
  3       12.5687803266       17.1068594805        1.0531433630
  1        7.4365186225        6.0075198311       19.0807386672
  2        6.9018256965        5.2210877454       19.1896272629
  2        7.4386708241        6.4178924544       19.9455035803
  3        7.3662561148        5.9579031921       19.2092008373
  1        6.5059121023        4.1766947768        5.3361173812
  2        6.9458732100        4.8272760599        5.8832982422
  2        7.0712977026        3.4054881171        5.3786389986
  3        6.6385558186        4.1607796720        5.4139217124
  1       11.1238797421        5.0761622274        4.3609709443
  2       10.1808669246        5.0035201008        4.2137343174
  2       11.2073795155        5.7092672639        5.0740168596
  3       11.0104770687        5.1501087402        4.4356228491
  1       20.7653972882        0.5331270766        8.6164900901
  2       20.6468322896       -0.1985676423        8.0108550050
  2       21.0154370071        0.1217628853        9.4438281818
  3       20.7827438368        0.3823138491        8.6457412036
  1        5.7604415102       16.6550296876       17.7340336369
  2        6.0601322519       16.6350174177       16.8251807086
  2        5.4533211247       15.7647293550       17.9051215188
  3        5.7594612558       16.5349246078       17.6366941850
