Date and Time     Completed      Estimated Time Left
08-02-2023 14:13      1%    5 days and   8 hours
08-02-2023 15:30      2%    5 days and   7 hours
08-02-2023 16:48      3%    5 days and   6 hours
08-02-2023 18:06      4%    5 days and   5 hours
08-02-2023 19:24      5%    5 days and   4 hours
08-02-2023 20:42      6%    5 days and   2 hours
08-02-2023 22:00      7%    5 days and   1 hours
08-02-2023 23:18      8%    4 days and  24 hours
09-02-2023 00:36      9%    4 days and  22 hours
09-02-2023 01:54     10%    4 days and  21 hours
09-02-2023 03:13     11%    4 days and  20 hours
09-02-2023 04:31     12%    4 days and  19 hours
09-02-2023 05:49     13%    4 days and  18 hours
09-02-2023 07:08     14%    4 days and  16 hours
09-02-2023 08:26     15%    4 days and  15 hours
09-02-2023 09:43     16%    4 days and  14 hours
09-02-2023 11:02     17%    4 days and  12 hours
09-02-2023 12:19     18%    4 days and  11 hours
09-02-2023 13:38     19%    4 days and  10 hours
09-02-2023 14:56     20%    4 days and   8 hours
09-02-2023 16:13     21%    4 days and   7 hours
09-02-2023 17:32     22%    4 days and   6 hours
09-02-2023 18:51     23%    4 days and   5 hours
09-02-2023 20:10     24%    4 days and   3 hours
09-02-2023 21:28     25%    4 days and   2 hours
09-02-2023 22:45     26%    4 days and   1 hours
10-02-2023 00:03     27%    3 days and  23 hours
10-02-2023 01:21     28%    3 days and  22 hours
10-02-2023 02:38     29%    3 days and  21 hours
10-02-2023 03:56     30%    3 days and  20 hours
10-02-2023 05:14     31%    3 days and  18 hours
10-02-2023 06:32     32%    3 days and  17 hours
10-02-2023 07:50     33%    3 days and  16 hours
10-02-2023 09:08     34%    3 days and  14 hours
10-02-2023 10:27     35%    3 days and  13 hours
10-02-2023 11:44     36%    3 days and  12 hours
10-02-2023 13:02     37%    3 days and  10 hours
10-02-2023 14:20     38%    3 days and   9 hours
10-02-2023 15:38     39%    3 days and   8 hours
10-02-2023 16:56     40%    3 days and   6 hours
10-02-2023 18:14     41%    3 days and   5 hours
10-02-2023 19:32     42%    3 days and   4 hours
10-02-2023 20:49     43%    3 days and   3 hours
10-02-2023 22:07     44%    3 days and   1 hours
10-02-2023 23:26     45%    2 days and  24 hours
11-02-2023 00:44     46%    2 days and  23 hours
11-02-2023 02:01     47%    2 days and  21 hours
11-02-2023 03:19     48%    2 days and  20 hours
11-02-2023 04:37     49%    2 days and  19 hours
11-02-2023 05:55     50%    2 days and  17 hours
11-02-2023 07:13     51%    2 days and  16 hours
11-02-2023 08:32     52%    2 days and  15 hours
11-02-2023 09:50     53%    2 days and  14 hours
11-02-2023 11:08     54%    2 days and  12 hours
11-02-2023 12:25     55%    2 days and  11 hours
11-02-2023 13:43     56%    2 days and  10 hours
11-02-2023 15:00     57%    2 days and   8 hours
11-02-2023 16:18     58%    2 days and   7 hours
11-02-2023 17:37     59%    2 days and   6 hours
11-02-2023 18:55     60%    2 days and   4 hours
11-02-2023 20:13     61%    2 days and   3 hours
11-02-2023 21:30     62%    2 days and   2 hours
11-02-2023 22:48     63%    2 days and   1 hours
12-02-2023 00:06     64%    1 days and  23 hours
12-02-2023 01:23     65%    1 days and  22 hours
12-02-2023 02:41     66%    1 days and  21 hours
12-02-2023 03:59     67%    1 days and  19 hours
12-02-2023 05:18     68%    1 days and  18 hours
12-02-2023 06:35     69%    1 days and  17 hours
12-02-2023 07:53     70%    1 days and  15 hours
12-02-2023 09:10     71%    1 days and  14 hours
12-02-2023 10:27     72%    1 days and  13 hours
12-02-2023 11:45     73%    1 days and  12 hours
12-02-2023 13:03     74%    1 days and  10 hours
12-02-2023 14:20     75%    1 days and   9 hours
12-02-2023 15:38     76%    1 days and   8 hours
12-02-2023 16:55     77%    1 days and   6 hours
12-02-2023 18:12     78%    1 days and   5 hours
12-02-2023 19:30     79%    1 days and   4 hours
12-02-2023 20:48     80%    1 days and   2 hours
12-02-2023 22:06     81%    1 days and   1 hours
12-02-2023 23:24     82%   23 hours and  22 minutes
13-02-2023 00:41     83%   22 hours and   4 minutes
13-02-2023 01:59     84%   20 hours and  46 minutes
13-02-2023 03:17     85%   19 hours and  28 minutes
13-02-2023 04:35     86%   18 hours and  10 minutes
13-02-2023 05:54     87%   16 hours and  52 minutes
13-02-2023 07:13     88%   15 hours and  34 minutes
13-02-2023 08:31     89%   14 hours and  17 minutes
13-02-2023 09:49     90%   12 hours and  59 minutes
13-02-2023 11:07     91%   11 hours and  41 minutes
13-02-2023 12:26     92%   10 hours and  23 minutes
13-02-2023 13:44     93%    9 hours and   5 minutes
13-02-2023 15:02     94%    7 hours and  47 minutes
13-02-2023 16:19     95%    6 hours and  29 minutes
13-02-2023 17:37     96%    5 hours and  11 minutes
13-02-2023 18:55     97%    3 hours and  53 minutes
13-02-2023 20:14     98%    2 hours and  35 minutes
13-02-2023 21:32     99%    1 hours and  17 minutes
13-02-2023 22:50    100%    0 minutes and  0 seconds
