# Time-averaged data for fix PEAve
# TimeStep v_PotEn
10000 -18716.4
20000 -18707.9
30000 -18724.5
40000 -18724.5
50000 -18700.1
60000 -18707.8
70000 -18665.2
80000 -18738.7
90000 -18723.3
100000 -18713.7
110000 -18707
120000 -18746.5
130000 -18751.2
140000 -18719.4
150000 -18711.4
160000 -18702.2
170000 -18757.8
180000 -18737.4
190000 -18727.4
200000 -18686.6
210000 -18715.4
220000 -18704.9
230000 -18723.8
240000 -18715.8
250000 -18699.1
260000 -18691.1
270000 -18743.3
280000 -18740.8
290000 -18677.2
300000 -18691.5
310000 -18682.8
320000 -18677.5
330000 -18685.8
340000 -18696.9
350000 -18713.2
360000 -18693.7
370000 -18694.1
380000 -18711.4
390000 -18739.2
400000 -18767.5
410000 -18692.5
420000 -18721.8
430000 -18706.8
440000 -18700.5
450000 -18704.7
460000 -18704.1
470000 -18673.8
480000 -18707
490000 -18717.6
500000 -18692.7
510000 -18736.1
520000 -18743.4
530000 -18736.8
540000 -18732.1
550000 -18689.2
560000 -18713.4
570000 -18714.6
580000 -18701.5
590000 -18716.8
600000 -18720.2
610000 -18728.1
620000 -18697.5
630000 -18724.3
640000 -18686.2
650000 -18677.7
660000 -18689.1
670000 -18694.7
680000 -18687.7
690000 -18674
700000 -18693.7
710000 -18735.3
720000 -18718.2
730000 -18731
740000 -18736.9
750000 -18687.4
760000 -18703.2
770000 -18705.9
780000 -18718
790000 -18734
800000 -18737.3
810000 -18717.2
820000 -18689.3
830000 -18700.8
840000 -18727.9
850000 -18718
860000 -18718.8
870000 -18698.8
880000 -18700.9
890000 -18702.3
900000 -18720.6
910000 -18697.8
920000 -18678.3
930000 -18729.2
940000 -18762.2
950000 -18740.1
960000 -18726.3
970000 -18722.9
980000 -18705.1
990000 -18707.6
1000000 -18699.8
1010000 -18706.5
1020000 -18703.9
1030000 -18716.8
1040000 -18709.1
1050000 -18716.3
1060000 -18750.1
1070000 -18748.1
1080000 -18710.6
1090000 -18704
1100000 -18707.3
1110000 -18715.4
1120000 -18695.7
1130000 -18684.3
1140000 -18700.3
1150000 -18715.8
1160000 -18743.8
1170000 -18715.7
1180000 -18706.9
1190000 -18721
1200000 -18690.9
1210000 -18686.8
