# Time-averaged data for fix PEAve1
# TimeStep v_PotEn1
10000 -19074.6
20000 -19107.5
30000 -19088.2
40000 -19057.8
50000 -19088.5
60000 -19101.6
70000 -19087.9
80000 -19087.2
90000 -19050.2
100000 -19067.8
110000 -19045.4
120000 -19056.4
130000 -19064.6
140000 -19074.5
150000 -19060.6
160000 -19064.5
170000 -19079.5
180000 -19081.9
190000 -19085.6
200000 -19104.4
210000 -19127.6
220000 -19127.8
230000 -19071.7
240000 -19073.1
250000 -19099.6
260000 -19091.4
270000 -19102.6
280000 -19107.7
290000 -19064.1
300000 -19064.9
310000 -19061.7
320000 -19065.5
330000 -19085.6
340000 -19091
350000 -19066.6
360000 -19044.9
370000 -19087
380000 -19047.8
390000 -19048.1
400000 -19033
410000 -19082.7
420000 -19078.1
430000 -19098.8
440000 -19088.1
450000 -19037.4
460000 -19100.6
470000 -19107
480000 -19092.7
490000 -19086.1
500000 -19052.9
510000 -19034.1
520000 -19041.2
530000 -19069
540000 -19054.5
550000 -19076.3
560000 -19060.7
570000 -19057.7
580000 -19074
590000 -19051.9
600000 -19057.2
610000 -19073.4
620000 -19105.9
630000 -19097.4
640000 -19094.2
650000 -19106.7
660000 -19080.2
670000 -19067.2
680000 -19088.9
690000 -19041.3
700000 -19007.8
710000 -19001.6
720000 -19063.3
730000 -19059.1
740000 -19058.3
750000 -19111
760000 -19064.3
770000 -19078.9
780000 -19072.5
790000 -19076.4
800000 -19052.5
810000 -19075.4
820000 -19085.9
830000 -19112.7
840000 -19101.6
850000 -19100.7
860000 -19067.1
870000 -19042.2
880000 -19093.8
890000 -19088.2
900000 -19066.1
910000 -19055.2
920000 -19072.7
930000 -19046.1
940000 -19054.6
950000 -19071.1
960000 -19076.9
970000 -19085.8
980000 -19056
990000 -19036.7
1000000 -19105.4
1010000 -19093.9
1020000 -19075.7
1030000 -19101.1
1040000 -19069.8
1050000 -19080.4
1060000 -19075.3
1070000 -19059.1
1080000 -19066
1090000 -19079.2
1100000 -19062.5
1110000 -19052.2
1120000 -19060.7
1130000 -19103.2
1140000 -19087.4
1150000 -19108.3
1160000 -19060.8
1170000 -19072.5
1180000 -19104.1
1190000 -19064.9
1200000 -19096.9
1210000 -19046
1220000 -19047.7
1230000 -19092.8
1240000 -19080.8
1250000 -19057.9
1260000 -19098.2
1270000 -19063.5
1280000 -19075.6
1290000 -19061.5
1300000 -19049.5
1310000 -19075.6
1320000 -19069.8
1330000 -19029.1
1340000 -19047.8
1350000 -19072.9
1360000 -19074
1370000 -19069
1380000 -19099
1390000 -19046.1
1400000 -19063.8
1410000 -19056.8
1420000 -19076.7
1430000 -19062.4
1440000 -19076.3
1450000 -19067.2
1460000 -19095.4
1470000 -19104.8
1480000 -19087
1490000 -19106.7
1500000 -19078.3
1510000 -19081.1
1520000 -19086.8
1530000 -19069.3
1540000 -19093.7
1550000 -19069.6
1560000 -19083.3
1570000 -19013.4
1580000 -19031.1
1590000 -19027.4
1600000 -19073.8
1610000 -19048.8
1620000 -19076.2
1630000 -19046.7
1640000 -19062.4
1650000 -19050.3
1660000 -19047
1670000 -19072.7
1680000 -19104
1690000 -19066.7
1700000 -19084.7
1710000 -19039.8
1720000 -19067
1730000 -19075.4
1740000 -19084.6
1750000 -19050.7
1760000 -19073.3
1770000 -19026
1780000 -19065.2
1790000 -19053.2
1800000 -19099
1810000 -19084.8
1820000 -19083.5
1830000 -19051.6
1840000 -19060.5
1850000 -19102.4
1860000 -19077
1870000 -19064
1880000 -19070
1890000 -19099
1900000 -19065.6
1910000 -19047.3
1920000 -19086.4
1930000 -19063
1940000 -19054.1
1950000 -19055.1
1960000 -19068.6
1970000 -19077.8
1980000 -19090.6
1990000 -19090.2
2000000 -19027.2
2010000 -19045.6
2020000 -19060.2
2030000 -19046.3
2040000 -19078.6
2050000 -19122.9
2060000 -19103.8
2070000 -19075.2
2080000 -19056.3
2090000 -19084.2
2100000 -19077.6
2110000 -19081.6
2120000 -19094.3
2130000 -19053.8
2140000 -19037.3
2150000 -19048.4
2160000 -19081
2170000 -19104.9
2180000 -19096.4
2190000 -19104.5
2200000 -19077.7
2210000 -19046.1
2220000 -19041.4
2230000 -19075.8
2240000 -19053.8
2250000 -19072.4
2260000 -19061.5
2270000 -19083.5
2280000 -19086.2
2290000 -19087.1
2300000 -19095.9
2310000 -19030.5
2320000 -19063.4
2330000 -19088.6
2340000 -19043.6
2350000 -19085.9
2360000 -19049.2
2370000 -19082.1
2380000 -19062.2
2390000 -19075.2
2400000 -19069.2
2410000 -19123.7
2420000 -19069.1
2430000 -19043.7
2440000 -19068
2450000 -19055.3
2460000 -19072.8
2470000 -19055.2
2480000 -19091.6
2490000 -19107.2
2500000 -19124.6
2510000 -19088.7
2520000 -19063.6
2530000 -19072.9
2540000 -19073.5
2550000 -19060
2560000 -19076.9
2570000 -19023.7
2580000 -19076.4
2590000 -19068.6
2600000 -19092.4
2610000 -19116.9
2620000 -19104.3
2630000 -19093.4
2640000 -19064.7
2650000 -19040.3
2660000 -19047.6
2670000 -19064.1
2680000 -19043.7
2690000 -19083.7
2700000 -19074.3
2710000 -19083.2
2720000 -19070.2
2730000 -19063
2740000 -19070.2
2750000 -19054.4
2760000 -19078.1
2770000 -19051.1
2780000 -19076.4
2790000 -19123.8
2800000 -19122.1
2810000 -19047
2820000 -19082.7
2830000 -19083.2
2840000 -19058.3
2850000 -19058.2
2860000 -19065.1
2870000 -19028.6
2880000 -19074.3
2890000 -19085.3
2900000 -19038.7
2910000 -19042.3
2920000 -19095.5
2930000 -19087.1
2940000 -19105.2
2950000 -19090.7
2960000 -19050.7
2970000 -19085.3
2980000 -19067.8
2990000 -19077.7
3000000 -19088.2
3010000 -19077.2
3020000 -19077.2
3030000 -19060
3040000 -19063.8
3050000 -19063.8
3060000 -19064.4
3070000 -19065.1
3080000 -19060
3090000 -19038.8
3100000 -19072.1
3110000 -19071.8
3120000 -19075.8
3130000 -19037.5
3140000 -19042
3150000 -19047.7
3160000 -19055.1
3170000 -19077.2
3180000 -19050.5
3190000 -19074.2
3200000 -19084.4
3210000 -19102.5
3220000 -19086.9
3230000 -19130.1
3240000 -19081.1
3250000 -19123.5
3260000 -19091.9
3270000 -19071.5
3280000 -19048.3
3290000 -19043.3
3300000 -19094.8
3310000 -19115.3
3320000 -19060
3330000 -19015.3
3340000 -19081.3
3350000 -19070.5
3360000 -19073.4
3370000 -19056.2
3380000 -19081
3390000 -19078.3
3400000 -19072.8
3410000 -19074
3420000 -19090.9
3430000 -19078.6
3440000 -19066.9
3450000 -19099.5
3460000 -19095
3470000 -19089.4
3480000 -19057.4
3490000 -19046.9
3500000 -19092.3
3510000 -19093
3520000 -19070.9
3530000 -19104.9
3540000 -19058.5
3550000 -19094
3560000 -19090.2
3570000 -19030.7
3580000 -19050.1
3590000 -19068.3
3600000 -19071.3
3610000 -19067.9
3620000 -19076.3
3630000 -19085.4
3640000 -19082.2
3650000 -19045.8
3660000 -19077.6
3670000 -19064.8
3680000 -19059.9
3690000 -19064.1
3700000 -19045
3710000 -19069.3
3720000 -19094
3730000 -19086.4
3740000 -19067.7
3750000 -19053.2
3760000 -19019.8
3770000 -19053.4
3780000 -19076
3790000 -19061.2
3800000 -19049.6
3810000 -19063.8
3820000 -19080.3
3830000 -19057.6
3840000 -19052.3
3850000 -19046.2
3860000 -19072
3870000 -19063
3880000 -19064.6
3890000 -19117.8
3900000 -19095
3910000 -19054.6
3920000 -19074.8
3930000 -19078.7
3940000 -19097.7
3950000 -19085.1
3960000 -19080.3
3970000 -19102
3980000 -19030.1
3990000 -19082.9
4000000 -19054.5
4010000 -19057.4
4020000 -19046.5
4030000 -19022.8
4040000 -19088.6
4050000 -19076.8
4060000 -19067.3
4070000 -19050.6
4080000 -19051.2
4090000 -19036.3
4100000 -19065.3
4110000 -19065
4120000 -19066
4130000 -19101.7
4140000 -19053.7
4150000 -19036.4
