# Time-averaged data for fix TEAve
# TimeStep v_TotEn
10000 -16760.4
20000 -16757.9
30000 -16773.1
40000 -16774.2
50000 -16751.9
60000 -16755.4
70000 -16711.5
80000 -16788.9
90000 -16773.1
100000 -16761.7
110000 -16754.9
120000 -16793
130000 -16795.8
140000 -16767.8
150000 -16760.7
160000 -16745.3
170000 -16806.8
180000 -16787.2
190000 -16775.6
200000 -16734.7
210000 -16761.2
220000 -16750.4
230000 -16777.2
240000 -16760.4
250000 -16743.5
260000 -16738.6
270000 -16791.7
280000 -16790.6
290000 -16726.6
300000 -16743.4
310000 -16729.8
320000 -16726.6
330000 -16731.1
340000 -16745.1
350000 -16763.1
360000 -16740.7
370000 -16740.3
380000 -16758.3
390000 -16787.7
400000 -16816.9
410000 -16740.3
420000 -16770.4
430000 -16754.8
440000 -16751.5
450000 -16754.7
460000 -16754.3
470000 -16720.1
480000 -16754.8
490000 -16770
500000 -16742.8
510000 -16784.1
520000 -16795.4
530000 -16784.5
540000 -16779.2
550000 -16733.2
560000 -16765
570000 -16762.9
580000 -16749.9
590000 -16765.3
600000 -16772.1
610000 -16776.6
620000 -16744.3
630000 -16773.8
640000 -16730.4
650000 -16721.8
660000 -16737.5
670000 -16742.9
680000 -16735.8
690000 -16720.1
700000 -16745.4
710000 -16786
720000 -16764.9
730000 -16782.7
740000 -16785.9
750000 -16734.5
760000 -16750.6
770000 -16753.4
780000 -16767.9
790000 -16787.1
800000 -16784.9
810000 -16771.1
820000 -16736.9
830000 -16748
840000 -16777.1
850000 -16765.9
860000 -16764.9
870000 -16745.5
880000 -16749.7
890000 -16752.9
900000 -16766.5
910000 -16741.9
920000 -16723.1
930000 -16780.9
940000 -16810.1
950000 -16788.9
960000 -16775.3
970000 -16775
980000 -16753.3
990000 -16762.4
1000000 -16749.5
1010000 -16757
1020000 -16755.9
1030000 -16766.5
1040000 -16762.6
1050000 -16767.2
1060000 -16798.1
1070000 -16797.2
1080000 -16757.9
1090000 -16747.8
1100000 -16752.2
1110000 -16763.3
1120000 -16747.4
1130000 -16729.6
1140000 -16748.2
1150000 -16763.6
1160000 -16794.3
1170000 -16762
1180000 -16753.5
1190000 -16771.4
1200000 -16739.5
1210000 -16734.9
1220000 -16752.1
1230000 -16736
1240000 -16765
1250000 -16767.4
1260000 -16753.5
1270000 -16743.2
1280000 -16729
1290000 -16781.6
1300000 -16757
1310000 -16769.1
1320000 -16710.6
1330000 -16757.5
1340000 -16756.5
1350000 -16760.9
1360000 -16791.7
1370000 -16793
1380000 -16739.4
1390000 -16760.3
1400000 -16752
1410000 -16761.5
1420000 -16777.4
1430000 -16748.7
1440000 -16754.2
1450000 -16768.8
1460000 -16758.1
1470000 -16771.9
1480000 -16769.7
1490000 -16768.4
1500000 -16748.1
1510000 -16737.1
1520000 -16736.5
1530000 -16719.7
1540000 -16767
1550000 -16768.8
1560000 -16740
1570000 -16725.7
1580000 -16792.1
1590000 -16759.7
1600000 -16754.8
1610000 -16728.9
1620000 -16785.4
1630000 -16757.4
1640000 -16771.9
1650000 -16773.4
1660000 -16783.4
1670000 -16747
1680000 -16729.5
1690000 -16727.2
1700000 -16753.6
1710000 -16777.6
1720000 -16797.6
1730000 -16735.1
1740000 -16742.5
1750000 -16760.7
1760000 -16753.2
1770000 -16772.4
1780000 -16760.8
1790000 -16730.3
1800000 -16749
1810000 -16748.4
1820000 -16703.8
1830000 -16759.9
1840000 -16778.5
1850000 -16787
1860000 -16760
1870000 -16727.9
1880000 -16751.7
1890000 -16798.7
1900000 -16763.8
1910000 -16789.9
1920000 -16772.5
1930000 -16748.8
1940000 -16746.8
1950000 -16722.6
1960000 -16736.5
1970000 -16762.9
1980000 -16794.9
1990000 -16737.9
2000000 -16760.4
2010000 -16742.4
2020000 -16768.4
2030000 -16765.5
2040000 -16771
2050000 -16794
2060000 -16762.2
2070000 -16782.4
2080000 -16754.2
2090000 -16766.5
2100000 -16782.2
2110000 -16778.4
2120000 -16768.9
2130000 -16770.6
2140000 -16771.1
2150000 -16727.1
2160000 -16767.2
2170000 -16730
2180000 -16775.4
2190000 -16795.5
2200000 -16766.9
2210000 -16780
2220000 -16785.1
2230000 -16811.4
2240000 -16817.7
2250000 -16783.1
2260000 -16764.3
2270000 -16746.5
2280000 -16771.8
2290000 -16772.5
2300000 -16775.4
2310000 -16717.5
2320000 -16740.7
2330000 -16718
2340000 -16764.1
2350000 -16767.8
2360000 -16750.3
2370000 -16774.9
2380000 -16729.2
2390000 -16728.5
2400000 -16746.7
2410000 -16734.3
2420000 -16741.3
2430000 -16788.2
2440000 -16780.5
2450000 -16761.5
2460000 -16782.8
2470000 -16783.4
2480000 -16809.4
2490000 -16800.3
2500000 -16808
2510000 -16808.5
2520000 -16774.8
2530000 -16769.2
2540000 -16732.9
2550000 -16773.9
2560000 -16748.5
2570000 -16733
2580000 -16732.4
2590000 -16767.9
2600000 -16751.9
2610000 -16766.1
2620000 -16728.3
2630000 -16714.8
2640000 -16700.3
2650000 -16736.2
2660000 -16718.6
2670000 -16748.1
2680000 -16729.9
2690000 -16707.8
2700000 -16744.4
2710000 -16739.4
2720000 -16735.1
2730000 -16747.3
2740000 -16755.3
2750000 -16740.1
2760000 -16754.3
2770000 -16776
2780000 -16732
2790000 -16774.9
2800000 -16784.5
2810000 -16746.7
2820000 -16800.1
2830000 -16786
2840000 -16737.3
2850000 -16734.8
2860000 -16770.4
2870000 -16804.3
2880000 -16762.9
2890000 -16753.7
2900000 -16763.8
2910000 -16754.4
2920000 -16717.7
2930000 -16786
2940000 -16763
2950000 -16759.2
2960000 -16769.9
2970000 -16752
2980000 -16754.5
2990000 -16732.3
3000000 -16712
3010000 -16700.5
3020000 -16727
3030000 -16761.4
3040000 -16765.6
3050000 -16739.2
3060000 -16745.1
3070000 -16768.7
3080000 -16774.8
3090000 -16756.7
3100000 -16776.3
3110000 -16741.8
3120000 -16755.9
3130000 -16774.9
3140000 -16757.1
3150000 -16735.4
3160000 -16729.7
3170000 -16753.2
3180000 -16770.1
3190000 -16763.7
3200000 -16746
3210000 -16769.6
3220000 -16786.7
3230000 -16795.9
3240000 -16755.3
3250000 -16762.6
3260000 -16764.9
3270000 -16753.6
3280000 -16797.6
3290000 -16753.6
3300000 -16759.3
3310000 -16766.5
3320000 -16766.2
3330000 -16750
3340000 -16741.1
3350000 -16767.7
3360000 -16769.8
3370000 -16735.7
3380000 -16748.2
3390000 -16772.1
3400000 -16752.9
3410000 -16738
3420000 -16766.6
3430000 -16744.7
3440000 -16783.5
3450000 -16768.9
3460000 -16747.5
3470000 -16750.7
3480000 -16748.2
3490000 -16784
3500000 -16741.6
3510000 -16774.7
3520000 -16780.4
3530000 -16762.1
3540000 -16757.8
3550000 -16735
3560000 -16737.8
3570000 -16728
3580000 -16768.3
3590000 -16740.1
3600000 -16717.2
3610000 -16743.3
3620000 -16733.3
3630000 -16745.4
3640000 -16761.7
3650000 -16758.3
3660000 -16808.2
3670000 -16759.8
3680000 -16756.6
3690000 -16748.9
3700000 -16772.1
3710000 -16762.9
3720000 -16736.4
3730000 -16765.9
3740000 -16710.2
3750000 -16751.1
3760000 -16782.3
3770000 -16799.2
3780000 -16794.7
3790000 -16752.5
3800000 -16735.4
3810000 -16777.1
3820000 -16697.8
3830000 -16730.1
3840000 -16728.9
3850000 -16767.6
3860000 -16754.8
3870000 -16748.2
3880000 -16755.3
3890000 -16704.2
3900000 -16767.3
3910000 -16768.5
3920000 -16743.3
3930000 -16773.9
3940000 -16766.7
3950000 -16739.9
3960000 -16738.3
3970000 -16775.7
3980000 -16780.3
3990000 -16769.5
4000000 -16750.9
4010000 -16735.4
4020000 -16745.8
4030000 -16766.3
4040000 -16757.6
4050000 -16701.1
4060000 -16732.8
4070000 -16715.8
4080000 -16744.5
4090000 -16744.8
4100000 -16739.6
4110000 -16739.9
4120000 -16740.2
4130000 -16757.7
4140000 -16769.6
4150000 -16756.3
4160000 -16774
4170000 -16801.6
4180000 -16770.8
4190000 -16770.9
4200000 -16761.2
4210000 -16754.1
4220000 -16740
4230000 -16798.7
4240000 -16774.6
4250000 -16783.6
4260000 -16768.6
4270000 -16742.9
4280000 -16764
4290000 -16768
4300000 -16741.3
4310000 -16746.6
4320000 -16763.8
4330000 -16747.6
4340000 -16754.4
4350000 -16750.3
4360000 -16728.2
4370000 -16742.1
4380000 -16742.3
4390000 -16719.6
4400000 -16757.3
4410000 -16782.7
4420000 -16739.5
4430000 -16791.9
4440000 -16808.2
4450000 -16794.2
4460000 -16795.1
4470000 -16748.8
4480000 -16778.9
4490000 -16727.2
4500000 -16761.7
4510000 -16779.6
4520000 -16779.1
4530000 -16759.5
4540000 -16778.1
4550000 -16744.5
4560000 -16758.1
4570000 -16745.8
4580000 -16744.3
4590000 -16746.4
4600000 -16737.7
4610000 -16771.7
4620000 -16759.6
4630000 -16770.7
4640000 -16770.5
4650000 -16746.5
4660000 -16766.8
4670000 -16762
4680000 -16747.9
4690000 -16746.7
4700000 -16727.9
4710000 -16746.6
4720000 -16730.7
4730000 -16738.9
4740000 -16761
4750000 -16744.2
4760000 -16754.1
4770000 -16761.6
4780000 -16774
4790000 -16740.9
4800000 -16746.1
4810000 -16783.9
4820000 -16760.5
4830000 -16740.6
4840000 -16788.3
4850000 -16770.7
4860000 -16763.2
4870000 -16778.9
4880000 -16812.1
4890000 -16813.2
4900000 -16725.9
4910000 -16774.8
4920000 -16793.3
4930000 -16750.2
4940000 -16741.3
4950000 -16755
4960000 -16753.2
4970000 -16768.1
4980000 -16738.2
4990000 -16757.8
5000000 -16757
5010000 -16726.5
5020000 -16760.4
5030000 -16762
5040000 -16732.3
5050000 -16738.8
5060000 -16736.1
5070000 -16785.8
5080000 -16770.4
5090000 -16728.9
5100000 -16721
5110000 -16752.9
5120000 -16759.9
5130000 -16741.6
5140000 -16741.5
5150000 -16740.8
5160000 -16766.1
5170000 -16780.6
5180000 -16750.9
5190000 -16749.1
5200000 -16771.6
5210000 -16762.8
5220000 -16765.7
5230000 -16735
5240000 -16775.2
5250000 -16722.3
5260000 -16722.4
5270000 -16769.5
5280000 -16724.8
5290000 -16764.2
5300000 -16741.2
5310000 -16771.4
5320000 -16770.9
5330000 -16789.8
5340000 -16782.9
5350000 -16757
5360000 -16750.9
5370000 -16742
5380000 -16694.1
5390000 -16757.8
5400000 -16756.1
5410000 -16776.9
5420000 -16782.9
5430000 -16726.1
5440000 -16752.3
5450000 -16777.6
5460000 -16791.5
5470000 -16748.9
5480000 -16739.3
5490000 -16725.2
5500000 -16756.2
5510000 -16742
5520000 -16761.9
5530000 -16741
5540000 -16746.3
5550000 -16734.6
5560000 -16775
5570000 -16758.2
5580000 -16729
5590000 -16705.9
5600000 -16703
5610000 -16729.2
5620000 -16758.6
5630000 -16751
5640000 -16747
5650000 -16739.6
5660000 -16779.6
5670000 -16766.9
5680000 -16777.9
5690000 -16785.6
5700000 -16747.5
5710000 -16756.9
5720000 -16766.7
5730000 -16732.2
5740000 -16720.6
5750000 -16757.3
5760000 -16775.5
5770000 -16765.1
5780000 -16790.8
5790000 -16766.8
5800000 -16808.2
5810000 -16785.7
5820000 -16781.3
5830000 -16750.8
5840000 -16762
5850000 -16731.3
5860000 -16732
5870000 -16767.5
5880000 -16751.8
5890000 -16743.3
5900000 -16765.9
5910000 -16714.6
5920000 -16738.9
5930000 -16771.5
5940000 -16745.2
5950000 -16806.1
5960000 -16811.6
5970000 -16741.3
5980000 -16706.8
5990000 -16715.7
6000000 -16764.8
6010000 -16752.5
6020000 -16710.7
6030000 -16769.4
6040000 -16770.8
6050000 -16767.6
6060000 -16764.3
6070000 -16796.4
6080000 -16767.3
6090000 -16790.6
6100000 -16763.3
6110000 -16781.8
6120000 -16757.4
6130000 -16807.7
6140000 -16768.6
6150000 -16799.2
6160000 -16766.8
6170000 -16759.1
6180000 -16745.8
6190000 -16750.1
6200000 -16761.8
6210000 -16752.1
6220000 -16742.1
6230000 -16795.5
6240000 -16757.1
6250000 -16746.8
6260000 -16748
6270000 -16764.7
6280000 -16738.5
6290000 -16788.3
6300000 -16735.7
6310000 -16803.6
6320000 -16772.8
6330000 -16741.7
6340000 -16734.7
6350000 -16749.3
6360000 -16754.2
6370000 -16757.4
6380000 -16758.2
6390000 -16760.2
6400000 -16770.8
6410000 -16816.6
6420000 -16798.4
6430000 -16765.9
6440000 -16766.2
6450000 -16794.3
6460000 -16782.2
6470000 -16812.9
6480000 -16757.2
6490000 -16767.6
6500000 -16772.7
6510000 -16768.3
6520000 -16758.9
6530000 -16771.2
6540000 -16786.7
6550000 -16747.8
6560000 -16767.9
