# Time-averaged data for fix TEAve1
# TimeStep v_TotEn1
10000 -17122
20000 -17156.5
30000 -17137.3
40000 -17104.7
50000 -17137.4
60000 -17156.1
70000 -17130.9
80000 -17139.4
90000 -17100.2
100000 -17117.9
110000 -17092.3
120000 -17107.8
130000 -17113.4
140000 -17125.8
150000 -17109.5
160000 -17111.9
170000 -17128.3
180000 -17129.2
190000 -17135.1
200000 -17146.9
210000 -17174.6
220000 -17177.2
230000 -17116.2
240000 -17123.6
250000 -17147.2
260000 -17137.8
270000 -17152.5
280000 -17154.2
290000 -17112.4
300000 -17117
310000 -17107.6
320000 -17116.5
330000 -17135.6
340000 -17142.8
350000 -17115
360000 -17096
370000 -17134.6
380000 -17098.8
390000 -17095.8
400000 -17077.7
410000 -17132.8
420000 -17130.9
430000 -17150.1
440000 -17138.9
450000 -17085.7
460000 -17153.1
470000 -17156.1
480000 -17143
490000 -17134.9
500000 -17101.4
510000 -17083.9
520000 -17091.2
530000 -17118.7
540000 -17102.6
550000 -17119.1
560000 -17110.9
570000 -17107.3
580000 -17122.5
590000 -17099.4
600000 -17105.9
610000 -17122.3
620000 -17153.7
630000 -17145.4
640000 -17142.5
650000 -17154.3
660000 -17129.6
670000 -17116.6
680000 -17137.7
690000 -17086.5
700000 -17060.7
710000 -17048.3
720000 -17109.6
730000 -17110.5
740000 -17106.8
750000 -17161
760000 -17116.8
770000 -17128.1
780000 -17124.8
790000 -17126.2
800000 -17101.9
810000 -17130.1
820000 -17131.5
830000 -17160.5
840000 -17149.2
850000 -17152.3
860000 -17114.9
870000 -17090.4
880000 -17141.8
890000 -17135.9
900000 -17113.9
910000 -17099.4
920000 -17122.6
930000 -17092.9
940000 -17106.1
950000 -17120.4
960000 -17122.4
970000 -17133.6
980000 -17101.7
990000 -17084
1000000 -17151.3
1010000 -17144.4
1020000 -17120.9
1030000 -17151.3
1040000 -17115.4
1050000 -17125.5
1060000 -17122.6
1070000 -17107.2
1080000 -17112.6
1090000 -17127.3
1100000 -17108
1110000 -17097.3
1120000 -17105.8
1130000 -17150.6
1140000 -17136.6
1150000 -17156.4
1160000 -17109.2
1170000 -17119.7
1180000 -17150.4
1190000 -17113.5
1200000 -17150
1210000 -17094.3
1220000 -17098
1230000 -17145.5
1240000 -17133.6
1250000 -17108.1
1260000 -17153.1
1270000 -17110.6
1280000 -17123.7
1290000 -17109.4
1300000 -17100.4
1310000 -17124.3
1320000 -17116.7
1330000 -17076.4
1340000 -17096.7
1350000 -17124.6
1360000 -17126.9
1370000 -17115.7
1380000 -17145.1
1390000 -17094.1
1400000 -17115.5
1410000 -17105.7
1420000 -17128.1
1430000 -17108.1
1440000 -17122.7
1450000 -17115.9
1460000 -17145.5
1470000 -17157.8
1480000 -17134.4
1490000 -17156
1500000 -17125.2
1510000 -17127.5
1520000 -17132.8
1530000 -17117
1540000 -17144.1
1550000 -17120.5
1560000 -17133.1
1570000 -17061.5
1580000 -17081.7
1590000 -17074.9
1600000 -17123.1
1610000 -17098.1
1620000 -17124.1
1630000 -17093.8
1640000 -17114
1650000 -17098.5
1660000 -17097.8
1670000 -17119.1
1680000 -17151.5
1690000 -17114.5
1700000 -17133.6
1710000 -17091.8
1720000 -17113
1730000 -17121.4
1740000 -17131.1
1750000 -17100.3
1760000 -17123.7
1770000 -17074.4
1780000 -17113.7
1790000 -17102.9
1800000 -17147.1
1810000 -17129.2
1820000 -17133.7
1830000 -17097
1840000 -17109.7
1850000 -17152.6
1860000 -17127
1870000 -17112.2
1880000 -17117.5
1890000 -17148.9
1900000 -17114.7
