Water at 298 K and 1 atm
#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__wat_wat	MSD__wat_OH	MSD__wat_Na	MSD__wat_B	MSD__wat_H2	MSD__OH_OH	MSD__OH_Na	MSD__OH_B	MSD__OH_H2	MSD__Na_Na	MSD__Na_B	MSD__Na_H2	MSD__B_B	MSD__B_H2	MSD__H2_H2	
 1000 58.3199 -47.3234 -4.08415 -11.8321 0.0169271 44.2654 -1.60907 11.0672 -0.0909772 4.68934 -0.40208 -0.043372 2.7672 -0.0227146 1.27449
 2000 88.1307 -71.0254 -6.70658 -17.7575 -0.0538568 66.0889 -1.97601 16.523 -0.066304 7.07871 -0.493835 -0.0571071 4.13124 -0.0165415 1.80697
 3000 115.555 -92.8377 -9.17662 -23.2109 -0.00160478 86.2848 -2.37862 21.5721 -0.141318 9.38834 -0.594423 -0.0765773 5.39362 -0.0353002 2.28867
 4000 142.936 -114.575 -11.717 -28.6461 -0.040369 106.351 -2.70106 26.5894 -0.136847 11.6792 -0.675136 -0.096375 6.64824 -0.0342279 2.75346
 5000 169.547 -135.386 -14.4166 -33.8498 -0.0634657 125.336 -2.84599 31.3367 -0.126181 13.9255 -0.711413 -0.129634 7.83536 -0.0315741 3.21202
 6000 196.246 -156.42 -17.0547 -39.1101 -0.0462568 144.611 -3.01467 36.1567 -0.151565 16.1416 -0.753365 -0.159361 9.04076 -0.0378663 3.66941
 7000 222.675 -177.261 -19.6989 -44.3218 -0.0160112 163.717 -3.17154 40.9344 -0.143532 18.3659 -0.792449 -0.225789 10.2356 -0.0358339 4.11116
 8000 248.707 -197.86 -22.235 -49.4728 -0.0368611 182.64 -3.3614 45.6661 -0.130739 20.5257 -0.839838 -0.261663 11.4188 -0.0326253 4.56462
 9000 274.067 -217.803 -24.8364 -54.4593 -0.0621915 200.996 -3.57008 50.2553 -0.0925259 22.7586 -0.891929 -0.313085 12.5663 -0.023016 5.00809
 10000 299.208 -237.642 -27.3773 -59.4195 -0.0968809 219.266 -3.77419 54.8231 -0.0490669 24.9382 -0.942868 -0.356681 13.7083 -0.0119901 5.44604
 11000 324.607 -257.627 -30.002 -64.4163 -0.122873 237.532 -3.85289 59.3899 -0.0194787 27.0756 -0.962484 -0.396311 14.8502 -0.00456267 5.88961
 12000 349.248 -276.94 -32.6642 -69.2447 -0.130766 255.285 -3.98538 63.828 0.0115088 29.2922 -0.995319 -0.453419 15.9597 0.00331705 6.33374
 13000 373.867 -296.318 -35.2648 -74.0893 -0.108668 273.07 -4.08477 68.2741 0.0174974 31.429 -1.01983 -0.511818 17.0712 0.00498011 6.76376
 14000 398.638 -315.694 -37.9648 -78.9331 -0.105655 290.732 -4.09933 72.689 0.0287434 33.5733 -1.02335 -0.563036 18.1749 0.00779557 7.18996
 15000 423.248 -335.095 -40.5286 -83.7831 -0.12049 308.594 -4.25957 77.154 0.0544573 35.7315 -1.06313 -0.612493 19.2911 0.0144361 7.63071
 16000 447.984 -354.536 -43.1745 -88.6439 -0.177194 326.443 -4.36578 81.6168 0.112714 37.9154 -1.08967 -0.662929 20.4069 0.0291036 8.06478
 17000 473.099 -374.374 -45.7954 -93.6044 -0.170223 344.763 -4.54917 86.197 0.11029 40.1406 -1.13506 -0.699825 21.5521 0.028605 8.49677
 18000 498.779 -394.724 -48.4206 -98.6933 -0.0725356 363.475 -4.67946 90.8761 0.0603205 42.3305 -1.16763 -0.762728 22.7223 0.0163002 8.92978
 19000 524.02 -414.701 -51.0354 -103.689 -0.088973 381.831 -4.77731 95.4659 0.0732978 44.4739 -1.19176 -0.792205 23.8699 0.0196499 9.34423
 20000 549.571 -434.738 -53.856 -108.699 -0.111616 400.147 -4.76823 100.045 0.0958601 46.6797 -1.18916 -0.834046 25.0149 0.0256905 9.78436
 20000 539.477 -424.471 -54.7559 -106.124 -0.980174 391.362 -5.25414 97.8462 0.803933 47.7831 -1.31512 -0.748013 24.4645 0.200931 9.51577
 40000 1019.18 -802.726 -105.5 -200.696 0.0331797 740.232 -8.55368 185.071 0.156731 90.4629 -2.14128 -1.75205 46.2733 0.0415277 18.4293
 60000 1510.51 -1186.63 -161.615 -296.66 -1.21476 1091.54 -8.5293 272.893 0.98351 134.467 -2.14048 -2.25192 68.2281 0.251805 26.555
 80000 2000.28 -1570.86 -215.281 -392.713 -2.56086 1444.55 -10.6644 361.144 1.3819 178.376 -2.67966 -2.2296 90.2908 0.354734 34.4553
 100000 2488.43 -1960.08 -264.136 -489.996 -2.67684 1803.4 -13.1934 450.844 1.53646 218.771 -3.31707 -3.07897 112.713 0.39617 42.9035
 120000 2965.35 -2350.95 -302.212 -587.671 -4.57525 2173.15 -24.1453 543.252 2.63272 257.888 -6.06207 -3.21704 135.808 0.676384 51.1055
 140000 3449.82 -2745.9 -343.444 -686.377 -7.42845 2545.23 -33.2155 636.235 3.90845 297.762 -8.32257 -2.79942 159.045 1.00083 59.0438
 160000 3908.43 -3122.6 -380.006 -780.52 -6.48761 2903.74 -45.2797 725.839 2.01238 336.862 -11.3461 -2.69025 181.44 0.531536 67.0046
 180000 4384.2 -3514.1 -417.363 -878.336 -7.00969 3275.02 -56.3629 818.62 1.55331 375.447 -14.1296 -2.5408 204.625 0.418856 75.078
 200000 4849.83 -3902.1 -449.362 -975.29 -10.0571 3645.2 -69.8671 911.127 3.64599 412.153 -17.5074 -2.56057 227.742 0.945111 82.582
 220000 5312.87 -4286.48 -483.963 -1071.36 -14.451 4009.87 -80.3037 1002.28 7.01157 448.41 -20.1283 -2.5273 250.528 1.78848 89.6092
 240000 5790.91 -4681.9 -519.268 -1170.2 -20.5714 4376.9 -85.2748 1094.04 10.9775 480.311 -21.3784 -1.8335 273.467 2.78284 96.1946
 260000 6253.39 -5060.6 -556.394 -1264.89 -27.8414 4727.81 -89.6294 1181.78 14.88 512.941 -22.4727 -0.240082 295.407 3.76046 102.684
 280000 6681.74 -5416.83 -585.67 -1353.98 -35.1139 5063.86 -99.3737 1265.83 19.5589 544.247 -24.9152 0.860609 316.429 4.93136 109.467
 300000 7153.34 -5808.51 -618.262 -1451.93 -41.4333 5430.04 -107.328 1357.4 23.96 576.612 -26.8965 1.42143 339.326 6.03221 116.26
 320000 7606.44 -6179.05 -655.121 -1544.6 -46.979 5772.16 -110.483 1442.95 26.8546 607.959 -27.6772 2.75487 360.719 6.75272 122.853
 340000 8036.91 -6531.83 -688.679 -1632.86 -52.1559 6104.26 -119.589 1526.02 29.5432 641.821 -29.9454 3.87901 381.5 7.42137 129.475
 360000 8471.55 -6880.04 -730.332 -1719.98 -57.3536 6427.68 -124.297 1606.93 31.4529 678.407 -31.1146 5.76885 401.741 7.89812 135.901
 380000 8908.39 -7237.56 -766.937 -1809.42 -63.1259 6764.94 -132.653 1691.29 35.3448 714.4 -33.1942 6.32886 422.842 8.86808 142.314
 400000 9345.13 -7602.67 -796.47 -1900.73 -66.9956 7114.58 -146.061 1778.72 36.96 749.178 -36.5346 7.29078 444.705 9.27336 149.169
 400000 9435.82 -7491.84 -950.61 -1873.05 -35.8053 6949.56 -104.175 1737.46 43.5453 835.814 -26.0269 -24.0745 434.385 11.0079 141.749
 800000 17441.9 -14231.2 -1436.17 -3558.13 -172.726 13500.7 -454.9 3375.51 216.592 1522.39 -113.758 -73.8219 843.963 54.2918 270.122
 1.2e+06 25795 -20928.5 -2193.52 -5232.15 -703.957 19624.7 -502.677 4906.56 706.432 2160.54 -125.967 -85.7134 1226.74 176.67 354.186
 1.6e+06 32069.5 -25885.2 -2834.95 -6470.93 -1101.8 24348.2 -689.902 6087.26 1059.23 2822.57 -172.95 -82.7089 1521.87 264.8 428.25
 2e+06 40766.8 -32960.1 -3573.23 -8238.59 -1339.13 30462.7 -402.07 7614.58 1263.32 3158.37 -100.708 -79.9264 1903.38 315.779 503.737
