Water at 298 K and 1 atm
#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__wat	MSD__OH	MSD__Na	MSD__B	MSD__H2	
 1000 218.088 27.3208 6.48486 5.04299 1.26829
 2000 337.43 39.706 9.64746 7.38805 1.79368
 3000 449.314 51.187 12.6034 9.56567 2.27056
 4000 559.203 62.4107 15.5478 11.7136 2.73901
 5000 666.946 73.3536 18.4218 13.8114 3.1926
 6000 773.502 84.11 21.2646 15.8855 3.65286
 7000 879.482 94.7358 24.0874 17.9422 4.10026
 8000 984.795 105.247 26.8871 19.9875 4.55172
 9000 1089.4 115.644 29.6679 22.0153 5.00509
 10000 1193.69 125.92 32.438 24.0222 5.45073
 11000 1297.65 136.12 35.201 26.0239 5.89994
 12000 1401.32 146.24 37.9456 28.0145 6.35102
 13000 1504.77 156.267 40.6851 29.9938 6.78926
 14000 1608.04 166.206 43.4064 31.9605 7.2287
 15000 1711.12 176.129 46.1199 33.9325 7.66763
 16000 1814.03 185.972 48.8334 35.8931 8.1054
 17000 1916.95 195.794 51.5398 37.858 8.5447
 18000 2019.75 205.574 54.2432 39.8201 8.98241
 19000 2122.55 215.339 56.9433 41.7888 9.40893
 20000 2225.24 225.029 59.6497 43.7466 9.84384
 20000 2228.26 224.881 59.6566 43.7143 9.66755
 40000 4273.17 411.379 112.793 82.5636 18.1903
 60000 6310.51 585.06 164.436 120.454 26.4525
 80000 8344.12 753.491 215.867 158.583 34.1598
 100000 10374.3 914.39 266.455 196.028 42.1501
 120000 12401.9 1071.43 317.005 233.298 49.6801
 140000 14426.2 1226.62 367.341 270.702 57.2704
 160000 16449.7 1379.22 417.984 307.831 64.7047
 180000 18473.2 1530.09 468.663 344.85 72.1976
 200000 20492.9 1681.01 518.933 382.062 79.4697
 220000 22509.5 1831.61 569.308 419.319 86.701
 240000 24527.2 1981.67 619.762 456.532 93.881
 260000 26548.4 2130.44 670.492 493.519 100.945
 280000 28568.1 2279.52 721.276 530.67 108.018
 300000 30592.5 2428.17 772.022 567.694 114.888
 320000 32613.8 2576.83 822.712 604.777 121.737
 340000 34638.4 2725.7 873.708 641.947 128.832
 360000 36660.2 2873.28 925.109 678.805 135.854
 380000 38681 3020.68 976.136 715.599 143.008
 400000 40701.6 3167.9 1027.29 752.358 150.209
 400000 40776.9 3159.66 1017.75 750.295 146.052
 800000 81233.9 6081.23 2036.59 1480.68 290.697
 1.2e+06 121684 8958.32 3040.88 2199.91 415.945
 1.6e+06 162664 11747.9 4034.96 2897.24 516.04
 2e+06 203502 14623.4 5041.65 3616.38 615.088
 2.4e+06 244405 17599 6004.12 4359.97 722.196
 2.8e+06 285560 20508.1 6948.46 5087.6 836.702
 3.2e+06 326318 23530.7 7903.19 5843.17 932.42
 3.6e+06 367308 26537.5 8863.56 6594.48 1036.87
 4e+06 408265 29523.3 9832.23 7341.07 1122.24
 4.4e+06 449116 32561.8 10807.4 8101.23 1204.05
 4.8e+06 490028 35497.2 11707.5 8835.05 1280.23
 5.2e+06 531020 38448.2 12639.5 9572.51 1354.62
 5.6e+06 571921 41255.3 13548 10274.7 1443.27
 6e+06 612925 44041.1 14478.6 10970.7 1517.42
 6.4e+06 654073 46769.4 15453.5 11652.8 1605.33
 6.8e+06 695410 49650.7 16411.5 12373.1 1728.74
 7.2e+06 736833 52507.8 17364.4 13086.9 1850.78
 7.6e+06 778152 55483.3 18268.1 13831.1 2008.17
 8e+06 819113 58353.6 19133.7 14548.5 2144.71
 8e+06 816504 56126.9 19281.5 13990.7 1567.92
 1.6e+07 1.62698e+06 115434 33213.6 28819 4348.34
