# Time-averaged data for fix PressAve
# TimeStep c_P
10000 115.662
20000 -97.0043
30000 -42.0014
40000 24.5459
50000 43.5692
60000 20.2206
70000 -9.51826
80000 114.75
90000 -67.8241
100000 189.916
110000 156.067
120000 -64.1812
130000 -34.0675
140000 60.8295
150000 137.516
160000 98.6235
170000 74.1783
180000 -162.401
190000 -61.2443
200000 84.8939
210000 178.315
220000 43.7152
230000 -57.1117
240000 16.2241
250000 -95.7415
260000 41.6284
270000 -43.3071
280000 102.42
290000 58.9196
300000 131.885
310000 251.448
320000 69.2941
330000 222.692
340000 130.266
350000 43.8115
360000 63.7528
370000 172.668
380000 31.1298
390000 99.4233
400000 86.4506
410000 79.5401
420000 169.722
430000 40.8421
440000 -30.1373
450000 -114.506
460000 -10.1407
470000 134.846
480000 161.956
490000 172.482
500000 194.246
510000 107.888
520000 6.78244
530000 -1.50852
540000 229.014
550000 178.989
560000 91.9873
570000 73.0108
580000 33.8669
590000 43.4478
600000 108.537
610000 186.365
620000 -28.0401
630000 34.7136
640000 80.613
650000 65.0844
660000 25.4153
670000 54.627
680000 137.032
690000 -2.90286
700000 80.1014
710000 31.1585
720000 17.2631
730000 156.027
740000 -75.5117
750000 -96.9854
760000 -141.756
770000 -101.234
780000 77.3954
790000 32.1201
800000 -180.058
810000 27.3196
820000 95.2182
830000 238.692
840000 234.784
850000 55.2181
860000 62.146
870000 60.149
880000 47.1094
890000 50.6853
900000 -29.9333
910000 -179.186
920000 21.2603
930000 71.5396
940000 -63.9298
950000 70.3685
960000 -83.4914
970000 73.9818
980000 52.9648
990000 16.2148
1000000 -83.5405
1010000 11.1553
1020000 78.9485
1030000 38.8896
1040000 -72.4291
1050000 170.176
1060000 161.612
1070000 131.284
1080000 -32.7132
1090000 51.1634
1100000 68.9451
1110000 -42.4747
1120000 -81.9186
1130000 224.006
1140000 73.8703
1150000 150.708
1160000 -292.145
1170000 -6.92501
1180000 -39.1825
1190000 54.0739
1200000 -51.5656
1210000 36.9419
1220000 125.625
1230000 72.6459
1240000 -83.2258
1250000 114.396
1260000 241.396
1270000 116.579
1280000 165.957
1290000 -43.3616
1300000 121.376
1310000 36.4823
1320000 -128.224
1330000 -44.9127
1340000 -73.695
1350000 -7.45155
1360000 -55.9416
1370000 72.409
1380000 188.63
1390000 -178.272
1400000 -71.8849
1410000 54.4175
1420000 69.7353
1430000 -71.7226
1440000 82.5428
1450000 190.894
1460000 59.2553
1470000 -59.4358
1480000 86.835
1490000 70.8562
1500000 162.339
1510000 109.773
1520000 -8.46223
1530000 -51.2398
1540000 167.322
1550000 68.6366
1560000 -2.10159
1570000 201.945
1580000 18.4754
1590000 42.2451
1600000 26.7015
1610000 -75.827
1620000 19.8444
1630000 -20.7327
1640000 126.077
1650000 39.0271
1660000 157.503
1670000 -138.326
1680000 -186.308
1690000 31.6293
1700000 110.98
1710000 109.398
1720000 20.873
1730000 17.5829
1740000 -45.0219
1750000 88.3349
1760000 -79.1906
1770000 -56.7414
1780000 -35.4023
1790000 -89.0246
1800000 64.6264
1810000 149.884
1820000 178.769
1830000 -24.0196
1840000 120.84
1850000 206.269
1860000 -54.1262
1870000 -149.452
1880000 -38.2614
1890000 -16.7069
1900000 40.5583
1910000 103.413
1920000 179.381
1930000 145.13
1940000 135.969
1950000 21.71
1960000 -3.35854
1970000 100.662
1980000 32.1312
1990000 24.0408
2000000 44.4503
2010000 -10.2878
2020000 -20.9202
2030000 6.91222
2040000 36.1965
2050000 95.0638
2060000 -7.66789
2070000 -95.1461
2080000 51.2214
2090000 131.591
2100000 211.85
2110000 237.143
2120000 -124.357
2130000 130.206
2140000 96.1691
2150000 154.224
2160000 53.0121
2170000 -24.5331
2180000 32.7155
2190000 63.0263
2200000 -135.307
2210000 -131.832
2220000 -5.09464
2230000 1.01526
2240000 -53.2418
2250000 120.172
2260000 -60.9096
2270000 -77.2811
2280000 84.6278
2290000 -52.1585
2300000 129.781
2310000 121.423
2320000 130.588
2330000 -132.902
2340000 32.6777
2350000 272.809
2360000 -2.61079
2370000 -146.786
2380000 283.73
2390000 -77.701
2400000 145.4
2410000 131.157
2420000 10.5536
2430000 -85.1333
2440000 85.9578
2450000 9.83188
2460000 9.72702
2470000 -54.5792
2480000 100.662
2490000 66.2105
2500000 68.677
2510000 -58.6268
2520000 55.7146
2530000 -39.6455
2540000 -84.9592
2550000 -18.5676
2560000 -222.647
2570000 -36.3987
2580000 -35.0627
2590000 -46.9308
2600000 -65.3815
2610000 110.729
2620000 -28.1808
2630000 36.4861
2640000 -43.5739
2650000 4.04749
2660000 -4.73861
2670000 7.66068
2680000 -108.651
2690000 -31.3531
2700000 188.635
2710000 213.932
2720000 42.4841
2730000 212.224
2740000 76.0349
2750000 -23.0716
2760000 157.909
2770000 90.9879
2780000 140.936
2790000 135.921
2800000 -47.8518
2810000 32.547
2820000 52.0422
2830000 -112.59
2840000 -38.1322
2850000 52.6686
2860000 25.3134
2870000 121.1
2880000 203.292
2890000 242.789
2900000 126.409
2910000 211.316
2920000 -46.7429
2930000 -154.301
2940000 43.8064
2950000 -141.432
2960000 11.3782
2970000 94.0754
2980000 56.6532
2990000 53.7625
3000000 47.9238
3010000 -145.977
3020000 -117.316
3030000 197.264
3040000 -18.6501
3050000 1.55016
3060000 62.3785
3070000 136.96
3080000 24.5365
3090000 -208.229
3100000 86.2914
3110000 67.0657
3120000 17.0891
3130000 -30.0285
3140000 19.954
3150000 98.0922
3160000 -76.8771
3170000 -55.7513
3180000 0.120436
3190000 37.8606
3200000 185.449
3210000 126.017
3220000 85.227
3230000 124.719
3240000 63.9947
3250000 21.5712
3260000 72.9395
3270000 127.518
3280000 164.443
3290000 43.7729
3300000 124.532
3310000 302.966
3320000 80.0193
3330000 207.253
3340000 -0.999717
3350000 23.6688
3360000 -45.7715
3370000 161.171
3380000 222.871
3390000 198.317
3400000 198.273
3410000 6.10323
3420000 -142.792
3430000 84.0937
3440000 66.207
3450000 -85.4959
3460000 -178.376
3470000 140.779
3480000 159.37
3490000 40.314
3500000 -72.0975
3510000 -10.4901
3520000 92.4998
3530000 205.331
3540000 263.506
3550000 226.549
3560000 92.283
3570000 13.9704
3580000 -64.3134
3590000 228.217
3600000 181.926
3610000 81.0184
3620000 33.3511
3630000 163.854
3640000 37.934
3650000 125.108
3660000 -173.597
3670000 92.3485
3680000 234.3
3690000 43.7765
3700000 64.5539
3710000 224.588
3720000 157.993
3730000 85.6901
3740000 41.7285
3750000 80.5018
3760000 -61.1166
3770000 48.9337
3780000 103.096
3790000 7.57312
3800000 257.337
3810000 -42.6147
3820000 182.618
3830000 42.3285
3840000 -20.4332
3850000 26.9999
3860000 -141.898
3870000 14.6921
3880000 65.6897
3890000 115.312
3900000 49.5404
3910000 -69.4336
3920000 -148.096
3930000 166.419
3940000 40.1275
3950000 166.412
3960000 -29.0712
3970000 -74.7691
3980000 45.8089
3990000 77.1886
4000000 29.7643
4010000 -69.9304
4020000 64.5379
4030000 -45.3205
4040000 -188.358
4050000 19.8919
4060000 34.1687
4070000 350.416
4080000 32.5462
4090000 153.677
4100000 206.65
4110000 -7.61927
4120000 -91.5187
4130000 13.9032
4140000 -22.6371
4150000 -46.7473
4160000 -189.251
4170000 -17.3751
4180000 66.1883
4190000 5.48485
4200000 131.781
4210000 -82.695
4220000 -42.1586
4230000 53.9006
4240000 161.398
4250000 65.2654
4260000 24.9224
4270000 24.3867
4280000 90.6008
4290000 -84.5486
4300000 -65.2152
4310000 -169.518
4320000 14.9105
4330000 20.0439
4340000 158.845
4350000 33.6963
4360000 -8.20809
4370000 -23.7096
4380000 -41.7975
4390000 19.3421
4400000 23.393
4410000 -245.925
4420000 -22.2584
4430000 151.039
4440000 66.1335
4450000 116.072
4460000 -106.551
4470000 -123.905
4480000 -37.8752
4490000 72.2367
4500000 7.41238
4510000 -68.9341
4520000 183.556
4530000 10.2499
4540000 -81.2389
4550000 49.1445
4560000 2.59283
4570000 313.027
4580000 289.386
4590000 210.223
4600000 44.012
4610000 -29.2345
4620000 9.59463
4630000 -14.6826
4640000 -69.2831
4650000 16.5269
4660000 50.0407
4670000 121.004
4680000 102.449
4690000 -0.147735
4700000 99.3304
4710000 20.0426
4720000 31.4601
4730000 -173.729
4740000 68.6408
4750000 29.11
4760000 -46.7382
4770000 -23.7592
4780000 -6.17343
4790000 93.9542
4800000 -85.9403
4810000 72.3779
4820000 157.622
4830000 91.3571
4840000 -19.8068
4850000 5.28437
4860000 67.8396
4870000 3.42356
4880000 187.445
4890000 64.2204
4900000 142.039
4910000 -69.6148
4920000 210.099
4930000 29.6491
4940000 84.6156
4950000 117.862
4960000 126.323
4970000 105.709
4980000 -225.72
4990000 -48.8907
5000000 -16.6656
5010000 -10.2195
5020000 14.4169
5030000 -69.3975
5040000 -22.0318
5050000 126.513
5060000 22.3246
5070000 117.136
5080000 -131.842
5090000 220.34
5100000 151.352
5110000 222.369
5120000 245.452
5130000 57.312
5140000 83.1147
5150000 79.3673
5160000 -150.003
5170000 143.944
5180000 -60.7354
5190000 -105.567
5200000 191.338
5210000 94.5573
5220000 76.0663
5230000 123.272
5240000 -29.5555
5250000 120.245
5260000 -22.475
5270000 -77.0977
5280000 154.803
5290000 -21.6552
5300000 153.963
5310000 233.739
5320000 18.0856
5330000 -17.2819
5340000 -77.1557
5350000 -88.8571
5360000 -38.4912
5370000 10.558
5380000 -34.3291
5390000 -64.373
5400000 151.694
5410000 -147.78
5420000 16.0815
5430000 -57.5437
5440000 -37.0511
5450000 -173.592
5460000 120.893
5470000 55.1778
5480000 109.238
5490000 87.022
5500000 -65.0782
5510000 -104.817
5520000 -47.9105
5530000 98.0093
5540000 -57.0098
5550000 36.6201
5560000 49.4078
5570000 -99.6916
5580000 -96.9907
5590000 -128.753
5600000 -52.8831
5610000 179.278
5620000 149.726
5630000 -80.4981
5640000 42.5671
5650000 38.8415
5660000 7.63145
5670000 83.5499
5680000 216.311
5690000 -7.05865
5700000 -62.1118
5710000 231.055
5720000 46.859
