# Time-averaged data for fix PressAve1
# TimeStep c_P1
10000 -2.27665
20000 5.13261
30000 3.01053
40000 -10.4274
50000 8.62891
60000 5.85445
70000 2.2607
80000 0.720888
90000 0.828773
100000 3.76066
110000 -5.55044
120000 -1.69634
130000 -0.810335
140000 13.2172
150000 -10.7419
160000 15.0547
170000 -11.1509
180000 15.4471
190000 -1.34065
200000 -14.3429
210000 8.01408
220000 10.0116
230000 -17.502
240000 12.4422
250000 -19.9154
260000 15.7967
270000 14.8921
280000 -11.0015
290000 -3.07996
300000 23.5646
310000 -4.77103
320000 8.25926
330000 -10.5768
340000 -5.26088
350000 -1.49476
360000 12.503
370000 -3.50037
380000 -1.23185
390000 -0.570615
400000 -4.71029
410000 12.744
420000 2.46381
430000 -5.63418
440000 9.54567
450000 -8.85761
460000 -16.2282
470000 23.5037
480000 -1.2192
490000 -3.42902
500000 11.5034
510000 -1.04677
520000 0.16957
530000 0.419354
540000 0.475271
550000 11.3538
560000 -1.30548
570000 4.36586
580000 -11.9912
590000 -4.90276
600000 3.45019
610000 -1.63056
620000 27.8159
630000 -27.9533
640000 10.3582
650000 6.14836
660000 -3.00006
670000 -0.0403703
680000 -3.97919
690000 29.7878
700000 -22.2021
710000 17.2661
720000 -5.91892
730000 -7.41721
740000 5.0162
750000 -1.10601
760000 23.5801
770000 -37.4849
780000 19.9731
790000 -13.8734
800000 21.7485
810000 -8.29638
820000 8.36633
830000 -4.66379
840000 5.38132
850000 -9.221
860000 1.05233
870000 7.93472
880000 -10.7006
890000 16.5672
900000 -0.33935
910000 -2.15633
920000 12.1522
930000 -17.1292
940000 12.8032
950000 -2.35671
960000 13.2324
970000 -10.9644
980000 9.7648
990000 -24.6954
1000000 11.6696
1010000 13.5041
1020000 -1.3217
1030000 0.76294
1040000 -0.902874
1050000 -4.60079
1060000 6.062
1070000 -2.78769
1080000 7.98571
1090000 3.5234
1100000 6.95705
1110000 -19.8637
1120000 19.4154
1130000 -13.8448
1140000 5.28938
1150000 -6.51908
1160000 20.5019
1170000 9.15688
1180000 19.2041
1190000 -10.9447
1200000 -11.9324
1210000 -2.47108
1220000 -5.57585
1230000 5.82954
1240000 5.9484
1250000 -9.62978
1260000 13.9292
1270000 -11.6312
1280000 2.2388
1290000 7.12963
1300000 6.44655
1310000 4.57195
1320000 -16.659
1330000 4.91561
1340000 -5.81305
1350000 14.954
1360000 -1.0039
1370000 -1.33601
1380000 14.202
1390000 -8.69954
1400000 -4.00627
1410000 17.7063
1420000 -13.8681
1430000 -0.639531
1440000 -5.2074
1450000 13.2148
1460000 -12.1244
1470000 13.321
1480000 -9.08732
1490000 9.87451
1500000 -12.898
1510000 13.061
1520000 9.31352
1530000 -27.3007
1540000 22.037
1550000 2.51357
1560000 4.4246
1570000 -2.49534
1580000 7.84503
1590000 -14.5596
1600000 5.55944
1610000 3.91714
1620000 16.3802
1630000 -9.73721
1640000 -2.19492
1650000 -0.890295
1660000 8.77392
1670000 -3.41409
1680000 10.1422
1690000 -8.6198
1700000 -4.83155
1710000 16.5917
1720000 -3.16425
1730000 -11.6245
1740000 9.3223
1750000 16.4226
1760000 -17.432
1770000 12.1603
1780000 -1.55672
1790000 -7.77434
1800000 6.49936
1810000 -4.82075
1820000 7.73519
1830000 -1.81634
1840000 7.26797
1850000 3.94485
1860000 -3.18568
1870000 -2.02128
1880000 -1.43323
1890000 8.36387
1900000 -2.06081
1910000 9.87283
1920000 -13.2785
1930000 25.7772
1940000 -18.6469
1950000 11.5961
1960000 19.7849
1970000 -35.3805
1980000 19.6654
1990000 -3.5596
2000000 3.27084
2010000 -5.63862
2020000 3.58461
2030000 5.00613
2040000 -4.1153
2050000 -15.6534
