# Time-averaged data for fix TempAve
# TimeStep c_T
10000 298.221
20000 297.32
30000 297.528
40000 297.353
50000 297.044
60000 297.677
70000 297.879
80000 297.279
90000 297.329
100000 297.622
110000 297.627
120000 297.851
130000 298.133
140000 297.554
150000 297.421
160000 298.363
170000 297.473
180000 297.342
190000 297.598
200000 297.609
210000 297.961
220000 297.987
230000 296.782
240000 298.134
250000 298.163
260000 297.683
270000 297.552
280000 297.345
290000 297.399
300000 297.021
310000 297.759
320000 297.446
330000 298.025
340000 297.597
350000 297.325
360000 297.766
370000 297.892
380000 297.786
390000 297.527
400000 297.4
410000 297.64
420000 297.522
430000 297.616
440000 297.165
450000 297.311
460000 297.274
470000 297.875
480000 297.646
490000 296.944
500000 297.289
510000 297.608
520000 297.003
530000 297.665
540000 297.745
550000 298.221
560000 297.074
570000 297.578
580000 297.544
590000 297.537
600000 297.016
610000 297.541
620000 297.806
630000 297.391
640000 298.195
650000 298.213
660000 297.552
670000 297.588
680000 297.61
690000 297.918
700000 297.05
710000 297.218
720000 297.825
730000 297.047
740000 297.472
750000 297.761
760000 297.708
770000 297.695
780000 297.332
790000 296.832
800000 297.68
810000 296.705
820000 297.689
830000 297.744
840000 297.425
850000 297.637
860000 297.909
870000 297.809
880000 297.502
890000 297.228
900000 297.929
910000 298.202
920000 298.101
930000 297.042
940000 297.627
950000 297.499
960000 297.469
970000 296.993
980000 297.583
990000 296.582
1000000 297.343
1010000 297.249
1020000 297.001
1030000 297.357
1040000 296.774
1050000 297.174
1060000 297.609
1070000 297.455
1080000 297.723
1090000 298.256
1100000 298.091
1110000 297.63
1120000 297.054
1130000 298.039
1140000 297.631
1150000 297.643
1160000 297.247
1170000 297.87
1180000 297.826
1190000 297.254
1200000 297.521
1210000 297.602
1220000 297.516
1230000 298.058
1240000 297.117
1250000 297.963
1260000 297.526
1270000 297.741
1280000 297.523
1290000 298.072
1300000 298.056
1310000 296.595
1320000 297.604
1330000 297.225
1340000 297
1350000 297.395
1360000 297.63
