# Time-averaged data for fix TempAve1
# TimeStep c_T1
10000 297.711
20000 297.468
30000 297.45
40000 297.775
50000 297.478
60000 296.62
70000 298.374
80000 296.983
90000 297.308
100000 297.297
110000 297.788
120000 297.104
130000 297.491
140000 297.118
150000 297.481
160000 297.705
170000 297.499
180000 297.731
190000 297.394
200000 298.447
210000 297.767
220000 297.404
230000 298.142
240000 297.234
250000 297.679
260000 297.863
270000 297.329
280000 297.841
290000 297.573
300000 297
310000 297.945
320000 297.155
330000 297.31
340000 297.037
350000 297.549
360000 297.143
370000 297.685
380000 297.15
390000 297.649
400000 298.122
410000 297.306
420000 296.885
430000 297.116
440000 297.198
450000 297.559
460000 296.931
470000 297.447
480000 297.273
490000 297.495
500000 297.53
510000 297.332
520000 297.316
530000 297.347
540000 297.61
550000 298.397
560000 297.275
570000 297.377
580000 297.538
590000 297.699
600000 297.509
610000 297.481
620000 297.655
630000 297.622
640000 297.569
650000 297.676
660000 297.399
670000 297.413
680000 297.5
690000 298.056
700000 296.871
710000 297.818
720000 297.875
730000 297.107
740000 297.549
750000 297.297
760000 296.938
770000 297.445
780000 296.959
790000 297.342
800000 297.403
810000 296.599
820000 297.984
830000 297.646
840000 297.674
850000 297.078
860000 297.636
870000 297.587
880000 297.618
890000 297.669
900000 297.655
910000 298.19
920000 297.325
930000 297.804
940000 297.082
950000 297.411
960000 297.993
970000 297.646
980000 297.964
990000 297.727
1000000 297.948
1010000 297.246
1020000 298.039
1030000 297.269
1040000 297.973
1050000 298.052
1060000 297.716
1070000 297.6
1080000 297.83
1090000 297.592
1100000 298.003
1110000 298.057
1120000 298.063
1130000 297.705
1140000 297.439
1150000 297.593
1160000 297.553
1170000 297.738
1180000 297.889
1190000 297.534
1200000 296.853
1210000 297.567
1220000 297.261
1230000 296.891
1240000 296.876
1250000 297.275
1260000 296.563
1270000 297.748
1280000 297.6
1290000 297.647
1300000 297.163
1310000 297.5
1320000 297.783
1330000 297.725
1340000 297.47
1350000 297.047
1360000 296.867
1370000 297.821
1380000 297.898
1390000 297.614
1400000 297.051
1410000 297.479
1420000 297.088
1430000 297.959
1440000 297.852
1450000 297.5
1460000 297.289
1470000 296.856
1480000 297.703
1490000 297.416
1500000 297.79
1510000 297.865
1520000 297.918
1530000 297.663
1540000 297.246
1550000 297.183
1560000 297.343
1570000 297.596
1580000 297.217
1590000 297.694
1600000 297.427
1610000 297.417
1620000 297.62
1630000 297.754
1640000 297.077
1650000 297.586
1660000 297.202
1670000 297.864
1680000 297.701
1690000 297.638
1700000 297.48
1710000 297.001
1720000 297.919
1730000 297.927
1740000 297.845
1750000 297.372
1760000 297.251
1770000 297.551
1780000 297.542
1790000 297.365
1800000 297.605
1810000 298.171
1820000 297.279
1830000 298.004
1840000 297.435
1850000 297.275
1860000 297.315
1870000 297.58
1880000 297.704
1890000 297.325
1900000 297.44
1910000 297.334
1920000 297.454
1930000 297.372
1940000 297.316
1950000 297.855
1960000 298.011
1970000 297.356
1980000 297.877
1990000 297.824
2000000 297.467
2010000 297.294
2020000 297.524
2030000 297.95
2040000 298.14
2050000 296.896
2060000 298.172
2070000 297.52
2080000 297.393
2090000 296.995
2100000 297.597
2110000 297.41
2120000 296.995
2130000 297.592
2140000 297.663
2150000 297.648
2160000 297.429
2170000 297.106
2180000 297.239
2190000 297.222
2200000 298.312
2210000 297.896
2220000 297.748
2230000 298.224
2240000 297.853
2250000 297.237
2260000 297.849
2270000 297.124
2280000 297.994
2290000 297.969
2300000 297.451
2310000 298.523
2320000 297.413
2330000 297.539
2340000 297.972
2350000 297.426
2360000 297.083
2370000 296.838
2380000 297.301
2390000 297.116
2400000 297.257
2410000 297.28
2420000 297.633
2430000 297.137
2440000 297.566
2450000 298.618
2460000 296.993
2470000 297.662
2480000 297.979
2490000 297.365
2500000 297.366
2510000 297.75
2520000 297.698
2530000 297.555
2540000 296.925
2550000 297.696
2560000 297.564
2570000 298.152
2580000 297.52
2590000 297.754
2600000 297.373
2610000 297.123
2620000 297.116
2630000 297.663
2640000 297.301
2650000 297.791
2660000 297.62
2670000 297.629
2680000 298.128
2690000 298.242
2700000 297.55
2710000 297.44
2720000 297.071
2730000 298.158
2740000 297.276
2750000 297.018
2760000 297.626
2770000 297.378
2780000 297.676
2790000 297.679
2800000 297.497
2810000 297.722
2820000 297.58
2830000 297.025
2840000 297.585
2850000 297.761
2860000 297.079
2870000 297.277
2880000 298.032
2890000 297.33
2900000 297.969
2910000 298.047
2920000 297.064
2930000 297.326
2940000 297.398
2950000 297.341
2960000 296.924
2970000 297.505
2980000 297.409
2990000 297.476
3000000 297.625
3010000 297.254
3020000 297.767
3030000 297.279
3040000 297.049
3050000 296.912
3060000 297.07
3070000 297.508
3080000 297.29
3090000 297.822
3100000 297.614
3110000 297.484
3120000 297.744
3130000 297.161
3140000 297.878
3150000 297.463
3160000 297.464
3170000 297.401
3180000 297.873
3190000 297.289
3200000 296.627
3210000 297.995
3220000 297.683
3230000 297.543
3240000 298.24
3250000 297.766
3260000 297.254
3270000 297.842
3280000 297.755
3290000 297.599
3300000 297.35
3310000 297.499
3320000 297.498
3330000 298.207
3340000 296.934
3350000 297.517
3360000 297.028
3370000 297.336
3380000 297.317
3390000 297.474
3400000 298.468
3410000 297.449
3420000 297.21
3430000 297.152
3440000 297.271
3450000 297.1
3460000 297.853
3470000 297.838
3480000 297.86
3490000 298.577
3500000 297.31
3510000 297.381
3520000 297.872
3530000 297.033
3540000 297.876
3550000 297.401
3560000 297.101
3570000 297.904
3580000 298.208
3590000 298.028
3600000 297.77
3610000 297.679
3620000 297.52
3630000 297.765
3640000 297.757
3650000 296.997
3660000 297.931
3670000 297.995
3680000 297.658
3690000 297.874
3700000 297.693
3710000 297.835
3720000 297.638
3730000 297.431
3740000 296.662
3750000 297.744
3760000 298.476
3770000 296.852
3780000 297.14
3790000 297.68
3800000 298.154
3810000 297.926
3820000 297.723
3830000 297.631
3840000 297.195
3850000 297.644
3860000 297.632
3870000 297.776
3880000 297.527
3890000 297.64
3900000 297.338
3910000 297.417
3920000 298.597
3930000 297.808
3940000 297.312
3950000 297.924
3960000 298.233
3970000 297.288
3980000 297.92
3990000 297.342
4000000 297.354
4010000 297.29
4020000 297.332
4030000 297.648
4040000 298.259
4050000 297.805
4060000 297.503
4070000 297.244
4080000 297.379
4090000 297.352
4100000 297.923
4110000 297.68
4120000 297.09
4130000 296.787
4140000 297.522
4150000 298.438
4160000 297.993
4170000 297.557
4180000 297.552
4190000 297.526
4200000 297.475
4210000 297.028
4220000 297.391
4230000 297.54
4240000 298.669
4250000 296.981
4260000 297.588
4270000 297.799
4280000 297.789
4290000 297.751
4300000 297.306
4310000 297.517
4320000 298.094
4330000 297.112
4340000 297.209
4350000 297.913
4360000 296.963
4370000 297.374
4380000 298.117
4390000 297.196
4400000 297.699
4410000 298.042
4420000 297.054
4430000 297.87
4440000 297.245
4450000 297.553
4460000 297.34
4470000 297.333
4480000 297.221
4490000 297.929
4500000 297.311
4510000 297.143
4520000 297.242
4530000 297.404
4540000 297.234
4550000 297.973
4560000 297.655
4570000 297.216
4580000 297.633
4590000 297.826
4600000 297.501
4610000 297.371
4620000 297.231
4630000 297.325
4640000 297.447
4650000 297.636
4660000 297.494
4670000 297.024
4680000 297.45
4690000 297.799
4700000 297.462
4710000 297.174
4720000 297.242
4730000 297.402
4740000 297.437
4750000 298.251
4760000 297.693
4770000 298.1
4780000 297.535
4790000 297.949
4800000 297.959
4810000 297.211
4820000 297.324
4830000 297.182
4840000 297.709
4850000 297.524
4860000 298.117
4870000 298.281
4880000 297.762
4890000 297.065
4900000 297.842
4910000 296.789
4920000 297.537
4930000 297.505
4940000 297.168
4950000 297.413
4960000 296.987
4970000 297.51
4980000 298.039
4990000 297.663
5000000 297.77
