Water at 298 K and 1 atm
#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 10 2.0842e+09 2.08456e+09 2.08139e+09 2.08106e+09 2.08552e+09 2.08646e+09 2.08434e+09 2.08396e+09 2.56762e+09
 20 7.53195e+09 7.53216e+09 7.52115e+09 7.51966e+09 7.5377e+09 7.54205e+09 7.53314e+09 7.53125e+09 9.82937e+09
 30 1.51271e+10 1.51262e+10 1.51054e+10 1.51008e+10 1.51428e+10 1.51534e+10 1.51323e+10 1.51272e+10 2.10166e+10
 40 2.39362e+10 2.39329e+10 2.39025e+10 2.38934e+10 2.397e+10 2.39893e+10 2.39509e+10 2.39401e+10 3.54545e+10
 50 3.33609e+10 3.33513e+10 3.33134e+10 3.33017e+10 3.34218e+10 3.34519e+10 3.33918e+10 3.33718e+10 5.26137e+10
 60 4.29982e+10 4.29741e+10 4.29326e+10 4.29229e+10 4.30923e+10 4.31366e+10 4.30506e+10 4.30177e+10 7.20429e+10
 70 5.26109e+10 5.25605e+10 5.25203e+10 5.25177e+10 5.27399e+10 5.28039e+10 5.26872e+10 5.26378e+10 9.337e+10
 80 6.21746e+10 6.2084e+10 6.20513e+10 6.20611e+10 6.23379e+10 6.24296e+10 6.22762e+10 6.2207e+10 1.16311e+11
 90 7.18102e+10 7.16649e+10 7.16456e+10 7.1674e+10 7.2008e+10 7.21358e+10 7.19393e+10 7.18463e+10 1.40658e+11
 100 8.17252e+10 8.15109e+10 8.15092e+10 8.15619e+10 8.19585e+10 8.21282e+10 8.18829e+10 8.17624e+10 1.66288e+11
 110 9.21726e+10 9.18773e+10 9.18934e+10 9.19754e+10 9.24414e+10 9.26556e+10 9.23575e+10 9.22069e+10 1.93153e+11
 120 1.03374e+11 1.02991e+11 1.03021e+11 1.03135e+11 1.03679e+11 1.03935e+11 1.03583e+11 1.03401e+11 2.21241e+11
 130 1.15461e+11 1.14986e+11 1.15023e+11 1.15169e+11 1.15802e+11 1.16094e+11 1.15688e+11 1.15476e+11 2.50526e+11
 140 1.28463e+11 1.27895e+11 1.27931e+11 1.28108e+11 1.28839e+11 1.29161e+11 1.28702e+11 1.2846e+11 2.80961e+11
 150 1.42321e+11 1.4166e+11 1.41686e+11 1.41892e+11 1.42729e+11 1.43078e+11 1.42566e+11 1.42295e+11 3.12471e+11
 160 1.56909e+11 1.56155e+11 1.56166e+11 1.564e+11 1.57347e+11 1.57724e+11 1.57157e+11 1.56858e+11 3.44962e+11
 170 1.72078e+11 1.71233e+11 1.71225e+11 1.71488e+11 1.7255e+11 1.72961e+11 1.72333e+11 1.72005e+11 3.78337e+11
 180 1.87695e+11 1.86764e+11 1.86734e+11 1.87033e+11 1.8821e+11 1.88665e+11 1.87969e+11 1.87607e+11 4.12508e+11
 190 2.03667e+11 2.02654e+11 2.026e+11 2.02943e+11 2.04238e+11 2.04752e+11 2.03978e+11 2.03576e+11 4.47402e+11
 200 2.19945e+11 2.18852e+11 2.18772e+11 2.19173e+11 2.20585e+11 2.21173e+11 2.2031e+11 2.19862e+11 4.82965e+11
 200 2.19705e+11 2.18575e+11 2.1856e+11 2.18934e+11 2.20226e+11 2.20964e+11 2.20041e+11 2.19603e+11 4.82772e+11
 400 6.23356e+11 6.18567e+11 6.16886e+11 6.2053e+11 6.25082e+11 6.2871e+11 6.24774e+11 6.22706e+11 1.33121e+12
 600 1.15908e+12 1.14613e+12 1.14259e+12 1.15086e+12 1.15975e+12 1.16702e+12 1.15921e+12 1.15523e+12 2.44582e+12
 800 1.79938e+12 1.77451e+12 1.76919e+12 1.78221e+12 1.79805e+12 1.80726e+12 1.79584e+12 1.78991e+12 3.79644e+12
 1000 2.52558e+12 2.48362e+12 2.47787e+12 2.49682e+12 2.51779e+12 2.53164e+12 2.51542e+12 2.50753e+12 5.33525e+12
